,Frequencies,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13
33,76.0,0.2787400919416454,0.19064767842123725,0.25166743706827455,0.31305913723951806,0.3222459616590836,0.33664284373448544,0.23263573535400472,0.29761751970081857,0.29761751970081857,0.29761751970081857,0.29761751970081857,0.29761751970081857,0.29761751970081857
34,78.0,0.2821576680520365,0.28426941512405596,0.3113431549643799,0.08047756279529575,0.05053163545242614,0.021272273879156246,0.01581306653064521,0.03682620149460032,0.03682620149460032,0.03682620149460032,0.03682620149460032,0.03682620149460032,0.03682620149460032
35,80.0,0.1948474998476466,0.20040926063509637,0.1799313658656472,0.2471221205218661,0.26464627888555864,0.33442561584851044,0.20971940904992542,0.33666795996106985,0.33666795996106985,0.33666795996106985,0.33666795996106985,0.33666795996106985,0.33666795996106985
36,82.0,0.1278810267146701,0.08881116241522133,0.17677099893907897,0.014244240834825544,0.033702025429496275,0.054930843118418934,0.011469756837936445,0.06866780435067832,0.06866780435067832,0.06866780435067832,0.06866780435067832,0.06866780435067832,0.06866780435067832
37,84.0,0.20091033504505423,0.22459582900628194,0.17382101421446006,0.21051538828759614,0.18286384971120706,0.21480336556842128,0.19423145172632486,0.3212360928522867,0.3212360928522867,0.3212360928522867,0.3212360928522867,0.3212360928522867,0.3212360928522867
38,86.0,0.22805105417780897,0.19538515030741563,0.2200045297674704,0.11159600958983901,0.14511344957837768,0.15804878502221847,0.11656356960261133,0.2090318155451592,0.2090318155451592,0.2090318155451592,0.2090318155451592,0.2090318155451592,0.2090318155451592
39,88.0,0.14302070508915044,0.06055577719480449,0.18516213365646175,0.12042412050330825,0.13470322303177193,0.15390773677911404,0.11528001236802952,0.22529081333811518,0.22529081333811518,0.22529081333811518,0.22529081333811518,0.22529081333811518,0.22529081333811518
40,90.0,0.015759618814052027,0.05668165233849967,0.06993569010818075,0.10238882941383672,0.13886125727405121,0.14786032129665616,0.15634362650640501,0.18487944010092003,0.18487944010092003,0.18487944010092003,0.18487944010092003,0.18487944010092003,0.18487944010092003
41,92.0,0.15836962795058307,0.06393425521204062,0.15692151026799425,0.24628189844326648,0.2659781120184614,0.3182292337482134,0.15169579740811687,0.24195487724400686,0.24195487724400686,0.24195487724400686,0.24195487724400686,0.24195487724400686,0.24195487724400686
42,94.0,0.18503718646316963,0.17220595941662245,0.1126902702758287,0.10752496698032109,0.08760636849607517,0.09852371652626192,0.11536039363286643,0.13529069566690602,0.13529069566690602,0.13529069566690602,0.13529069566690602,0.13529069566690602,0.13529069566690602
43,96.0,0.07341722958076842,0.12123619454064906,0.19673512287771894,0.2792373710780247,0.2658121434517064,0.3045903118506155,0.2523659923978437,0.2849817618559435,0.2849817618559435,0.2849817618559435,0.2849817618559435,0.2849817618559435,0.2849817618559435
44,98.0,0.14182632565428469,0.10083382885687484,0.09559836407787631,0.16894356065482022,0.15870622862596317,0.21464541281286567,0.10841241390020316,0.23889558717995632,0.23889558717995632,0.23889558717995632,0.23889558717995632,0.23889558717995632,0.23889558717995632
45,100.0,0.29542567774786244,0.31344161190272707,0.3918763787555117,0.4281618912297531,0.4235329632228745,0.5055943872606674,0.38230632726817393,0.4498858940075678,0.4498858940075678,0.4498858940075678,0.4498858940075678,0.4498858940075678,0.4498858940075678
46,102.0,0.33303795346877435,0.2989716277203391,0.3064227599149478,0.10393295664107194,0.0951812181456705,0.12454041145701697,0.08218316280424623,0.12165918128529245,0.12165918128529245,0.12165918128529245,0.12165918128529245,0.12165918128529245,0.12165918128529245
47,104.0,0.2702509607853532,0.21367413436623925,0.3011941459430804,0.30585702627326644,0.28495290390590666,0.2832659842614714,0.18391302896258616,0.26647597989540484,0.26647597989540484,0.26647597989540484,0.26647597989540484,0.26647597989540484,0.26647597989540484
48,106.0,0.1954315820608227,0.24105137781744226,0.2204379503120948,0.13658639679843804,0.1501145040092159,0.2225222175838082,0.1475793221571825,0.256278817772824,0.256278817772824,0.256278817772824,0.256278817772824,0.256278817772824,0.256278817772824
49,108.0,0.15526037269771034,0.12772333550449072,0.16544937154085906,0.13748537854952816,0.1180151488794464,0.20345379834436939,0.11708218294495826,0.23387118967167567,0.23387118967167567,0.23387118967167567,0.23387118967167567,0.23387118967167567,0.23387118967167567
50,110.0,0.11829033869145374,0.08166922304790697,0.044731245660736156,0.09490255262779017,0.12003561298294978,0.08587148703719015,0.11787857034768101,0.1770729515799634,0.1770729515799634,0.1770729515799634,0.1770729515799634,0.1770729515799634,0.1770729515799634
51,112.0,0.10323028106895309,0.17839559897366966,0.2120941050044715,0.16173089934412627,0.1815541969046307,0.18640739827533065,0.16760153667205954,0.2901523748888569,0.2901523748888569,0.2901523748888569,0.2901523748888569,0.2901523748888569,0.2901523748888569
52,114.0,0.10174242978592798,0.09209591440617002,0.18262432052501404,0.2595734493647747,0.25775488272993813,0.34329755148543784,0.19634936643455597,0.22588655896176144,0.22588655896176144,0.22588655896176144,0.22588655896176144,0.22588655896176144,0.22588655896176144
53,116.0,0.048783113377720504,0.03248009242857422,0.09144914490733612,0.2366785273421062,0.23752070577378584,0.2576743886545577,0.2205461407082488,0.35056106728055253,0.35056106728055253,0.35056106728055253,0.35056106728055253,0.35056106728055253,0.35056106728055253
54,118.0,0.05433875556108285,0.08405776542776829,0.1105213560483885,0.22006849885589594,0.2314751249272956,0.26871370464518335,0.1787264686328572,0.2218658626581491,0.2218658626581491,0.2218658626581491,0.2218658626581491,0.2218658626581491,0.2218658626581491
55,120.0,0.13689434287561347,0.07376124719428771,0.09039288758103751,0.2679758270952936,0.2900854174119393,0.37145288633757195,0.23565088054351996,0.32796305599330045,0.32796305599330045,0.32796305599330045,0.32796305599330045,0.32796305599330045,0.32796305599330045
56,122.0,0.1285679808483351,0.08629307109099665,0.10272114691380772,0.2421672316538425,0.2335924641020748,0.2704436515509449,0.18474083736104013,0.2693872988626356,0.2693872988626356,0.2693872988626356,0.2693872988626356,0.2693872988626356,0.2693872988626356
