,Frequencies,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13
29,68.0,0.3269612674083002,0.36956915703042825,0.1497527651154814,0.030769528739557638,0.16305036880056142,0.10197891462375896,0.19251996591921777,0.1423071274891388,0.39122671466965925,0.1951774362093332,0.23563810244783118,0.1853523055349026,0.12588719578196594
30,70.0,0.44517835496240643,0.38836307193637143,0.19515970052638795,0.1753374621393059,0.09853211616627415,0.19845652428977598,0.040305543473521215,0.4043670073683235,0.15291495035235605,0.45149225903628043,0.32891157139229327,0.4376167675074801,0.3522033346629608
31,72.0,0.39140836504963533,0.3932644496075451,0.1737744678360535,0.2255961360587159,0.08515314915545578,0.22688654151156146,0.07545078242026876,0.4379796902604793,0.12151318632019832,0.5312449038676521,0.42156908943364496,0.5554610601357403,0.6154281965567516
32,74.0,0.2809890632560127,0.21207623296489275,0.15860863931799424,0.1719359200716214,0.14804798051286971,0.1425092315078343,0.05112432191667563,0.19986404634819477,0.2085468622822694,0.39822864642070366,0.4791774106908015,0.5450636600598245,0.5403917477653664
33,76.0,0.2787400919416454,0.06903616328087156,0.15718663169763172,0.13559852199104122,0.23258279439470478,0.16412502930602557,0.09167582964000104,0.20730280191002262,0.2481152751117621,0.2850343266940635,0.47038395399667915,0.4260909475664057,0.2710376803711426
34,78.0,0.2821576680520365,0.23718606906680642,0.052070381702597986,0.13905037357732628,0.23566550757298202,0.23555666093904698,0.1288069810832681,0.3182771149708123,0.12352930152978922,0.31369275948881986,0.35509069333918014,0.1974028407851566,0.11463084420486831
35,80.0,0.1948474998476466,0.17690748684395594,0.08854587119386595,0.12341747359355948,0.14685354553692398,0.19092655483434562,0.056945955752710824,0.2138422720437823,0.05946216084617346,0.2769208351396236,0.2291825357109712,0.20015120708543296,0.11411195033569077
36,82.0,0.1278810267146701,0.06066012618927452,0.15948178622861317,0.11890201991960542,0.059995942324242324,0.07271868002120843,0.0482019461863299,0.2119038455060485,0.1088334878977724,0.20271647120274583,0.25380625707630444,0.373451074956222,0.19540095584908834
37,84.0,0.20091033504505423,0.19447140495124046,0.10525692777087475,0.11308684213115722,0.03779616310492737,0.05711485592818381,0.015485293505572012,0.30486674470610864,0.14459539587169312,0.16679796033853714,0.24015145440133315,0.351476429675766,0.3003409446248024
38,86.0,0.22805105417780897,0.21243404360500395,0.19672739649114235,0.08431886354404561,0.11096028137442698,0.11234228899097655,0.1505086327835791,0.28964049239270956,0.4698327921296057,0.147455572486304,0.151958760233455,0.17569403834583286,0.28366369880045494
